x,y,avg_d_kbps,avg_u_kbps,avg_lat_ms,average
0,23,4890577332,4826104183,3976496980,23399891.540669855
0,25,320322321,321,932,320322321
0,26,19809946394,19728920181,19620927490,21986621.96892342
0,27,46657205201,42506104890,46552249710,21600557.963425927
0,28,86175815668,63639783349,84849067206,21299015.24172022
0,29,30728650501,39430373904,31310223548,15433777.248116525
0,30,26199506353,23512959940,26116483727,18359850.28241065
0,31,22439348806,18622141676,21585177587,23871647.665957447
0,32,18132268095,18635069235,19214341342,25113944.729916897
0,33,18161414496,17434347842,18288780818,25224186.8
0,34,5833335019,4937114905,5613660950,27131790.786046512
0,35,924724976,740188229,801682725,25686804.888888888
1,23,6996138647,7243893669,8513325759,20220053.893063582
1,26,10617139482,11120981238,11478770403,20032338.645283017
1,27,37367165742,35306184926,37915987702,22215913.045184303
1,28,50882285169,38343200485,51218866748,21979388.841900647
1,29,34658461587,35114741727,34857021615,17329230.7935
1,30,18157357837,19341920685,18264442166,14514274.849720225
1,31,15396548886,16938060051,14777683865,21715865.84767278
1,32,18524565145,19982292698,18006924536,24999413.151147097
1,33,61,0,310101320,61
2,23,9476748096,10062373532,8880885393,19261683.12195122
2,24,522575642,244904651,441257087,19354653.407407407
2,26,355827639,552274854,361069821,15470766.913043479
2,27,23880428104,26000171172,23600456353,18656584.45625
2,28,11274122012,8985700505,11180354076,23785067.53586498
2,29,25459477178,19700386160,24883390933,20598282.50647249
2,30,23130796492,24844395327,24725799273,14961705.363518758
2,31,22747548694,35115760325,22502392842,15034731.456708526
2,32,29065343600,34468942029,29589988595,24927395.88336192
3,23,4657352900,3880298314,4841540426,28398493.292682927
3,24,6259000814,7539801169,5321290367,20125404.546623792
3,25,4861402583,4767686418,5705467489,17239016.25177305
3,26,4851336584,5633013860,4620148091,15549155.717948718
3,27,5161472364,4928374132,5863888391,18433829.87142857
3,28,4709211050,6035713570,4478431194,16238658.793103449
3,29,1012328226,1625924475,1432211459,16595544.68852459
3,30,12283672186,9822952803,10248453889,18753697.99389313
3,31,25323634659,32835246520,26602594544,17488697.968922652
3,32,15421269025,21565949518,14500670432,18490730.245803356
4,23,2407277525,2850479290,3096219102,17194839.464285713
4,24,4691706860,5308801362,5162546386,18544295.889328063
4,25,3743598370,3970842015,3508102154,17826658.904761903
4,26,6696603407,8407142398,6295583790,14217841.628450107
4,27,1169173057,1757011621,1263172726,11351194.72815534
4,29,33,24,4,16.5
4,30,9,6,120021310,9
4,31,517217104,1108965076,352971662,11493713.422222223
